,Habitaciones,Baños,Estrato,Antigüedad,Piso N°,Administración,Precio m²,Parqueaderos,Estado,Tipo de apartamento,Precio,Área construída (m²),Área privada (m²)
106,,,,,,,,,,, 156520000,,
107,3.0,2.0,5.0,,8,$ 390.000 COP,"$ 5.698.924,73*m²",1.0,,, 530000000,93 ,93 
108,,,,,,,,,,, 148000000,,
109,,,6.0,,,,,,Sobre planos,, 553675000,,
110,3.0,2.0,6.0,16 a 30 años,14,$ 418.000 COP,"$ 5.196.078,43*m²",1.0,Bueno,, 530000000,102 ,102 
111,,,,,,,,,,, 365000000,,
112,,,4.0,,,,,,En construcción,, 488100000,,
113,,,,,,,,,,, 160000000,,
114,3.0,2.0,4.0,,,$ 280.000 COP,"$ 5.547.945,21*m²",1.0,,, 405000000,73 ,0 
115,,,,,,,,,,, 543532000,,
116,3.0,2.0,4.0,,,$ 1 COP,$ 3.593.750*m²,1.0,,Loft, 230000000,64 ,0 
117,,,,,,,,,,, 410000000,,
118,,,,,,,,,,, 295210000,,
119,4.0,3.0,4.0,,,No definida,"$ 3.753.246,75*m²",1.0,Excelente,, 289000000,77 ,0 
120,3.0,4.0,5.0,9 a 15 años,Otro,$ 700.000 COP,"$ 5.581.395,35*m²",2.0,Excelente,PentHouse, 1200000000,215 ,0 
121,,,4.0,,,,,,Sobre planos,, 200000000,,
122,3.0,2.0,6.0,9 a 15 años,4,$ 530.000 COP,"$ 6.315.789,47*m²",2.0,,, 600000000,95 ,0 
123,2.0,2.0,3.0,9 a 15 años,,$ 190.000 COP,"$ 5.673.076,92*m²",,,, 295000000,52 ,52 
124,3.0,2.0,5.0,16 a 30 años,3,$ 368.000 COP,"$ 4.666.666,67*m²",1.0,,, 420000000,90 ,0 
125,3.0,1.0,3.0,1 a 8 años,11,$ 217.840 COP,"$ 3.738.461,54*m²",,Bueno,, 243000000,65 ,65 
126,,,,,,,,,,, 250000000,,
127,2.0,2.0,4.0,menor a 1 año,12,No definida,$ 6.400.000*m²,1.0,Excelente,, 320000000,50 ,0 
128,3.0,4.0,6.0,más de 30 años,6,$ 1.000.000 COP,"$ 4.579.439,25*m²",3.0,Excelente,, 980000000,214 ,214 
129,,,,,,,,,,, 240000000,,
130,1.0,2.0,4.0,1 a 8 años,3,No definida,"$ 4.032.258,06*m²",,,, 250000000,62 ,62 
131,1.0,2.0,6.0,9 a 15 años,,No definida,"$ 6.428.571,43*m²",2.0,,, 675000000,105 ,0 
132,,,,,,,,,,, 647307563,,
133,1.0,1.0,5.0,,3,$ 167.000 COP,$ 4.700.000*m²,2.0,,, 235000000,50 ,0 
134,1.0,1.0,4.0,,,No definida,$ 6.187.500*m²,1.0,Excelente,, 198000000,32 ,0 
135,,,,,,,,,,, 561960000,,
136,2.0,1.0,3.0,1 a 8 años,Otro,$ 60.000 COP,$ 3.250.000*m²,,Excelente,, 130000000,40 ,40 
137,,,,,,,,,,, 631862400,,
138,,,4.0,,,,,,Sobre planos,, 297126000,,
139,3.0,3.0,5.0,1 a 8 años,4,$ 220.000 COP,$ 4.687.500*m²,1.0,Excelente,, 450000000,96 ,96 
140,3.0,2.0,5.0,9 a 15 años,6,$ 363.000 COP,"$ 4.808.988,76*m²",2.0,Excelente,, 428000000,89 ,89 
141,3.0,3.0,6.0,16 a 30 años,Otro,$ 330.000 COP,"$ 5.584.415,58*m²",1.0,Excelente,, 430000000,77 ,0 
142,3.0,2.0,5.0,9 a 15 años,Otro,$ 267.000 COP,"$ 5.833.333,33*m²",1.0,Excelente,, 420000000,72 ,72 
143,,,,,,,,,,, 347300000,,
144,2.0,2.0,6.0,1 a 8 años,Otro,No definida,"$ 4.857.142,86*m²",1.0,,, 340000000,70 ,0 
145,3.0,4.0,5.0,menor a 1 año,9,$ 300.000 COP,"$ 6.666.666,67*m²",2.0,Excelente,, 1100000000,165 ,165 
146,,,,,,,,,,, 1417743028,,
147,2.0,1.0,4.0,9 a 15 años,Otro,$ 103.000 COP,"$ 4.444.444,44*m²",,,, 200000000,45 ,45 
148,4.0,3.0,6.0,16 a 30 años,2,No definida,"$ 3.915.833,33*m²",1.0,Bueno,, 469900000,120 ,120 
149,,,,,,,,,,, 156520000,,
150,3.0,2.0,3.0,1 a 8 años,16,$ 150.000 COP,"$ 4.264.150,94*m²",1.0,Excelente,Loft, 226000000,53 ,53 
151,3.0,2.0,3.0,9 a 15 años,11,$ 230.000 COP,"$ 4.516.129,03*m²",1.0,Bueno,, 280000000,62 ,62 
152,,,6.0,,,,,,Sobre planos,, 553675000,,
153,1.0,,6.0,1 a 8 años,5,No definida,$ 7.000.000*m²,2.0,,, 490000000,70 ,70 
154,2.0,1.0,2.0,menor a 1 año,2,No definida,"$ 1.384.615,38*m²",,Excelente,, 90000000,65 ,0 
155,,,4.0,,,,,,En construcción,, 488100000,,
156,4.0,2.0,5.0,16 a 30 años,3,$ 451.800 COP,"$ 4.476.190,48*m²",2.0,,, 470000000,105 ,105 
157,3.0,3.0,6.0,9 a 15 años,3,$ 528.000 COP,"$ 5.257.731,96*m²",2.0,Excelente,, 510000000,97 ,89 
158,,,,,,,,,,, 543532000,,
